COACode,AllocatedAmount,Decision,Reason,COAID,BudgetID
"MTIRMRAD496232","670000000","update","Existing FY budget found for COA","1","62"
"MTIRMRAD496250","4410099000","insert","No FY budget found for COA","2",""
"MTIRMRAD496309","38800000","insert","No FY budget found for COA","3",""
"MTIRMRAD496313","5052600000","insert","No FY budget found for COA","4",""
"MTIRMRAD496314","1208000000","insert","No FY budget found for COA","5",""
"MTIRMRAD496326","291240000","insert","No FY budget found for COA","6",""
"MTIRMRAD496328","2603435000","insert","No FY budget found for COA","7",""
"MTIRMRAD496769","240200000","insert","No FY budget found for COA","8",""
"MTIRMRAD496014","108000000","insert","No FY budget found for COA","9",""
"AMITCM16.6250","180300000","rejected","COA expense type is not OPEX","13",""
"AMITCM19.6250","892602000","rejected","COA expense type is not OPEX","15",""
"AMITCM20.6250","340048000","rejected","COA expense type is not OPEX","16",""
"AMITINO1.6250","248614000","rejected","COA expense type is not OPEX","21",""
"AMPLCM01.6250","1443606031","rejected","COA expense type is not OPEX","22",""
"AMPLME05.6250","62100000","rejected","COA expense type is not OPEX","23",""