PRFItemID,PRFNo,Strategy,PickedUpBy,PickedUpByUserID,Confidence,Reason
"10208","39301","unresolved","","","none","No reliable source found"
"10561","39031","unresolved","","","none","No reliable source found"
"10585","40286","unresolved","","","none","No reliable source found"
"10586","40286","unresolved","","","none","No reliable source found"
"10587","40286","unresolved","","","none","No reliable source found"
"10588","40286","unresolved","","","none","No reliable source found"
"10589","40286","unresolved","","","none","No reliable source found"
"10590","40286","unresolved","","","none","No reliable source found"
"10591","40286","unresolved","","","none","No reliable source found"
"10592","40286","unresolved","","","none","No reliable source found"
"11429","40631","unresolved","","","none","No reliable source found"
"11430","40631","unresolved","","","none","No reliable source found"